code,sub-code,quantity,allow-overdraft,stock-close
ccar-13549-a,,0,0,0
ccar-15250-b,,8,0,0
ccar-15348-c,,0,0,0
ccar-15351-d,,0,0,0
cc-k1d,cc-k1d-c,0,0,0
cc-k1d,cc-k1d-w,0,0,0
cc-k2d,cc-k2d-c,0,0,0
cc-k2d,cc-k2d-w,0,0,0
cc-k3d,cc-k3d-c,0,0,0
cd-4007bbs-b,,0,0,0
cd-4007bbs-bk,,0,0,0
cd-4007bbs-r,,0,0,0
chain420-100l,,0,0,0
chain420-120l,,0,0,0
chain420-126l,,12,0,0
chain420-130l,,0,0,0
chain428-132l,,0,0,0
chain428-150l,,0,0,0
chain520-110l,,0,0,0
chain520-116l,,0,0,0
chain520-120l,,0,0,0
chain520-o-120l,,20,0,0
chain525-120l,,0,0,0
chain525-o-120l,,0,0,0
chain530-120l,,0,0,0
chain530-130l,,6,0,0
chain530-o-120l,,0,0,0
chain530-o-130l,,1,0,0
chain-hoist-025,,41,0,0
chain-hoist-050-3m,,0,0,0
chain-hoist-075,,49,0,0
chain-hoist-100-3m,,11,0,0
chain-hoist-150,,10,0,0
chain-hoist-200,,14,0,0
chain-hoist-300,,11,0,0
chainsaw30cc,,0,0,0
chainsaw58cc-003,,0,0,0
chg-cntrlr-30-48,,0,0,0
chipperchredder,,0,0,0
clip-remover,,11,0,0
cm600c,,1,0,0
cm600c-s,,1,0,0
compactbender001,,0,0,0
cranescale1t,,0,0,0
crane-scale-3000kg,,5,0,0
cranescale3t,,5,0,0
crane-scale-5000kg,,0,0,0
cranescale-500kg,,0,0,0
dai54-70,,0,0,0
deumlifter,,0,0,0
dia-saw125-01,,0,0,0
dia-saw125-01-s,,0,0,0
dia-saw150-01,,0,0,0
dia-saw150-01-s,,0,0,0
dia-saw180-01,,0,0,0
dia-saw180-01-s,,0,0,0
dia-saw200-01,,1,0,0
dia-saw200-01-s,,1,0,0
dia-saw230-01,,0,0,0
dia-saw230-01-s,,0,0,0
dia-saw250-01,,0,0,0
dia-saw250-01-s,,0,0,0
digital-lvbox-a,,0,0,0
digital-lvbox-b,,0,0,0
digital-s-50kg,,0,0,0
digitalscale200kg,,0,0,0
disk-bk-calp-b,,53,0,0
dl0015a,,0,0,0
dl0015as,dl0015as-bl,0,0,0
dl0015as,dl0015as-re,0,0,0
dl0015aw,,0,0,0
dl0020a,,0,0,0
dl0021-bl,,0,0,0
dl0021-bl-s,,0,0,0
dl0025,dl0025b-re-,0,0,0
dl0025,dl0025a-bl-,0,0,0
dl0025b-re,,0,0,0
dl002-hlj-1,,0,0,0
dl0030-bl,,0,0,0
dl0031-re,,0,0,0
DL003HLJ-1,,0,0,0
dl003hlj-1-685-c,,0,0,0
dl-014,,0,0,0
dl0210r,,4,0,0
dl0220B,,5,0,0
DL03SST,,24,0,0
DL0612,,50,0,0
